Date,Open,High,Low,Close,AdjClose,Volume
6/15/2022,2800,2810,2760,2780,2779.961182,879500
6/16/2022,2780,2820,2780,2810,2809.960693,242800
6/17/2022,2800,2810,2770,2800,2799.960938,360400
6/20/2022,2800,2820,2790,2810,2809.960693,229300
6/21/2022,2800,2850,2800,2840,2839.960449,478300
6/22/2022,2860,2890,2830,2850,2849.960205,299800
6/23/2022,2850,2870,2840,2850,2849.960205,376800
6/24/2022,2850,2890,2840,2860,2859.960205,290200
6/27/2022,2870,2930,2860,2870,2869.959961,741300
6/28/2022,2880,2900,2860,2870,2869.959961,423800
6/29/2022,2870,2880,2850,2860,2859.960205,301200
6/30/2022,2870,2870,2800,2800,2799.960938,1199700
7/1/2022,2800,2800,2770,2780,2779.961182,732100
7/4/2022,2780,2780,2720,2750,2749.96167,929700
7/5/2022,2750,2820,2730,2800,2799.960938,381000
7/6/2022,2800,2820,2730,2740,2739.96167,517900
7/7/2022,2740,2780,2740,2770,2769.961426,440900
7/8/2022,2780,2790,2770,2780,2779.961182,125800
7/11/2022,2780,2800,2760,2780,2779.961182,128300
7/12/2022,2810,2840,2760,2820,2819.960693,419000
7/13/2022,2850,2870,2770,2790,2789.961182,190000
7/14/2022,2790,2790,2620,2750,2749.96167,993500
7/15/2022,2750,2750,2680,2690,2689.962402,766800
7/18/2022,2690,2690,2660,2690,2689.962402,194700
7/19/2022,2690,2730,2680,2720,2719.962158,579700
7/20/2022,2730,2780,2720,2760,2759.961426,249100
7/21/2022,2760,2790,2740,2770,2769.961426,579500
7/22/2022,2770,2870,2750,2830,2829.960449,2390500
7/25/2022,2830,2860,2830,2850,2849.960205,767800
7/26/2022,2850,2860,2810,2850,2849.960205,434300
7/27/2022,2850,2900,2810,2890,2889.959717,401000
7/28/2022,2890,2940,2890,2940,2939.958984,1448200
7/29/2022,3000,3040,2960,2970,2969.958496,1840700
8/1/2022,2970,3040,2970,3000,2999.958252,1196400
8/2/2022,3000,3020,2970,2980,2979.958496,679500
8/3/2022,2980,3000,2980,2990,2989.958252,647000
8/4/2022,2990,3040,2990,3010,3009.958008,501900
8/5/2022,3010,3030,2990,2990,2989.958252,505400
8/8/2022,3000,3010,2970,3000,2999.958252,462700
8/9/2022,3040,3100,3000,3020,3019.957764,998400
8/10/2022,3020,3030,2980,2980,2979.958496,392200
8/11/2022,2990,3010,2980,2980,2979.958496,678700
8/12/2022,2980,3010,2980,2990,2989.958252,980400
8/15/2022,2990,3010,2980,3000,2999.958252,315500
8/16/2022,3000,3000,2980,2990,2989.958252,323800
8/18/2022,3000,3020,2990,3000,2999.958252,548500
8/19/2022,3000,3000,2990,2990,2989.958252,177500
8/22/2022,2990,3000,2960,2980,2979.958496,1274100
8/23/2022,2980,2980,2960,2970,2969.958496,243500
8/24/2022,2970,3080,2950,3060,3059.957275,1708900
8/25/2022,3060,3070,3050,3060,3059.957275,4380400
8/26/2022,3060,3080,3050,3070,3069.957275,6940000
8/29/2022,3070,3120,3060,3100,3099.956787,1345900
8/30/2022,3100,3100,3080,3080,3079.957031,1028700
8/31/2022,3100,3100,3080,3090,3089.956787,982500
9/1/2022,3100,3120,3080,3100,3099.956787,3431300
9/2/2022,3100,3120,3090,3110,3109.956543,1962900
9/5/2022,3110,3110,3090,3110,3109.956543,555800
9/6/2022,3120,3120,3090,3110,3109.956543,704800
9/7/2022,3110,3110,3090,3100,3099.956787,977300
9/8/2022,3110,3110,3080,3090,3089.956787,4177500
9/9/2022,3090,3100,3080,3090,3089.956787,1015400
9/12/2022,3100,3100,3090,3090,3089.956787,521700
9/13/2022,3090,3100,3090,3090,3089.956787,1459300
9/14/2022,3090,3100,3080,3090,3089.956787,893900
9/15/2022,3090,3100,3090,3090,3089.956787,1048800
9/16/2022,3100,3100,3090,3090,3089.956787,1050900
9/19/2022,3100,3100,3090,3100,3099.956787,1119600
9/20/2022,3100,3100,3080,3090,3089.956787,10632200
9/21/2022,3090,3100,3090,3100,3099.956787,386400
9/22/2022,3100,3100,2980,3070,3069.957275,577500
9/23/2022,3080,3080,3020,3080,3079.957031,435100
9/26/2022,3070,3100,3060,3080,3079.957031,574500
9/27/2022,3070,3080,3000,3050,3049.95752,533700
9/28/2022,3030,3030,2910,2970,2969.958496,1199800
9/29/2022,2970,3000,2880,2900,2899.959473,1442600
9/30/2022,2900,2900,2720,2730,2729.961914,1045300
10/3/2022,2730,2990,2730,2960,2959.95874,842800
10/4/2022,2960,3040,2960,3010,3009.958008,454600
10/5/2022,3010,3040,3000,3010,3009.958008,246400
10/6/2022,3000,3010,2970,3010,3009.958008,548900
10/7/2022,3010,3010,2980,3010,3009.958008,359600
10/10/2022,2980,2980,2890,2930,2929.959229,467000
10/11/2022,2930,3000,2900,2950,2949.95874,432100
10/12/2022,2940,3000,2910,2990,2989.958252,316700
10/13/2022,2990,3000,2940,2940,2939.958984,260500
10/14/2022,2940,2940,2910,2910,2909.959473,141400
10/17/2022,2910,2930,2880,2890,2889.959717,219900
10/18/2022,2890,2930,2880,2890,2889.959717,58200
